"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000189221.9",2372.07327038368,3.38515645935459,0.136553700877296,4.35902140985128e-138,6.92125419456187e-134,"MAOA","4128"
"ENSG00000120129.5",3418.7376719045,2.9624013969821,0.121135375218561,6.63138441059141e-134,5.26465608356852e-130,"DUSP1","1843"
"ENSG00000101347.9",14114.6651100238,3.73755850808086,0.158400838097194,1.96622203755042e-126,1.04065578374085e-122,"SAMHD1","25939"
"ENSG00000152583.12",973.967775830774,4.48381519351883,0.200722624165222,9.24093056552873e-114,3.66818738798663e-110,"SPARCL1","8404"
"ENSG00000196136.17",2709.50841847039,3.23241990383772,0.144978819737819,2.03125238368659e-112,6.45044506963514e-109,"SERPINA3","12"
"ENSG00000211445.11",12509.5427468555,3.75475534423884,0.171033937720273,2.61152306481969e-110,6.91096053720116e-107,"GPX3","2878"
"ENSG00000157214.13",3030.96449637051,2.00355089675238,0.0929827431979521,2.08418123274234e-104,4.72751851621183e-101,"STEAP2","261729"
"ENSG00000162614.18",5509.11380271038,2.00067798087031,0.0938425369483529,3.10270716899039e-102,6.15809805365367e-99,"NEXN","91624"
"ENSG00000125148.6",3689.37794201193,2.22312646421712,0.109888106709,1.38089251282271e-92,2.4362012576221e-89,"MT2A","4502"
"ENSG00000109906.13",437.778689529372,6.34496222427779,0.314558639088559,1.5926030840946e-92,2.5287351769254e-89,"ZBTB16","7704"
"ENSG00000154734.14",29587.9575150536,2.22762900333621,0.111444677076777,1.54141978790521e-90,2.22496939930535e-87,"ADAMTS1","9510"
"ENSG00000134243.11",5539.872582699,2.18921196252868,0.112824247842519,1.43982714286464e-85,1.90513128120039e-82,"SORT1","6272"
"ENSG00000139132.14",1214.47538923799,2.13989940718929,0.111259550432045,8.75051329055701e-84,1.06877423098049e-80,"FGD4","121512"
"ENSG00000127954.12",493.295719391507,4.71934227485564,0.25023860523386,1.23542408181698e-81,1.401147397935e-78,"STEAP4","79689"
"ENSG00000178695.5",2647.76750012263,-2.5198384378768,0.138268427950021,3.60330125126432e-76,3.81421448450499e-73,"KCTD12","115207"
"ENSG00000106484.15",943.126163919565,-2.02473161601482,0.111990742703662,2.56462692024001e-74,2.54507163997318e-71,"MEST","4232"
"ENSG00000162692.11",505.32527713605,-3.65297619413788,0.205201993111368,2.87555622224252e-73,2.68576951157451e-70,"VCAM1","7412"
"ENSG00000166741.7",7489.74076932452,2.2274836390927,0.12903855542612,1.4734687251138e-68,1.2997631342976e-65,"NNMT","4837"
"ENSG00000163884.3",565.912006563355,4.47903851958376,0.265468011977192,7.0162865123871e-67,5.86339985493065e-64,"KLF15","28999"
"ENSG00000179094.15",772.761072537537,3.10552813865503,0.183239491834864,1.16884740995011e-66,9.27947958759396e-64,"PER1","5187"
"ENSG00000145390.11",8696.49825236664,2.2780891937648,0.134549022580251,4.16836748199425e-66,3.15168280376689e-63,"USP53","54532"
"ENSG00000198624.12",2037.41644649005,2.82789093624067,0.168545278018825,1.75323866559489e-65,1.2653601605598e-62,"CCDC69","26112"
"ENSG00000253368.3",1046.55375900487,2.00957135803408,0.119006243206897,2.27823740143501e-65,1.57277623739066e-62,"TRNP1","388610"
"ENSG00000119139.19",5705.06059930417,1.95265649458371,0.116581664051467,1.67750231460341e-64,1.10980757296971e-61,"TJP2","9414"
"ENSG00000124766.6",1280.57412880376,-2.37073105866455,0.145002328306347,6.60611610729318e-62,4.19567646206404e-59,"SOX4","6659"
"ENSG00000146250.6",310.157086425245,-2.70420137876175,0.16470402162098,7.20440501843443e-62,4.39967472625777e-59,"PRSS35","167681"
"ENSG00000126016.15",401.125691722962,-2.56441112905367,0.156490152493471,9.27292558585317e-62,5.45316712785839e-59,"AMOT","154796"
"ENSG00000233117.2",121.719323564943,4.86019563897981,0.296345029372695,1.44464163293685e-61,8.19214994563263e-59,NA,NA
"ENSG00000163661.3",9812.70995073786,2.23631999096886,0.138759626544967,2.59248366814438e-60,1.41942950630332e-57,"PTX3","5806"
"ENSG00000163394.5",1174.71663239388,-2.16568122303647,0.135050179245214,2.56514767219662e-59,1.35764715797126e-56,"CCKAR","886"
"ENSG00000163083.5",421.526655464102,3.45758924338054,0.216905120396547,4.37400826980127e-59,2.24033881638402e-56,"INHBB","3625"
"ENSG00000136478.7",3706.51000498317,1.48261979232509,0.0940900669114409,3.5508114803296e-57,1.76186827139604e-54,"TEX2","55852"
"ENSG00000262655.3",1634.77561743194,1.77608504108657,0.113236161011499,9.33805588165078e-57,4.49301973602579e-54,"SPON1","10418"
"ENSG00000105989.9",349.888676918303,-3.02359634453026,0.19389181082649,3.57342829819313e-56,1.66879101525619e-53,"WNT2","7472"
"ENSG00000116285.12",3246.15185773043,2.41501781930225,0.156585495488967,1.22763055955494e-55,5.56923372131811e-53,"ERRFI1","54206"
"ENSG00000162493.16",1058.74533678625,1.75996351862482,0.113696727205309,2.45790724669672e-55,1.08407364619585e-52,"PDPN","10630"
"ENSG00000165995.19",562.592077074795,3.10860044576002,0.202210433744678,2.86339430628131e-55,1.2287831025712e-52,"CACNB2","783"
"ENSG00000154930.14",658.934346141589,1.85731806218495,0.12090065140144,1.62610011363479e-54,6.7945309484982e-52,"ACSS1","84532"
"ENSG00000046653.14",1126.37721960713,2.63156271099806,0.172599449086092,3.49843573061969e-54,1.42431185976358e-51,"GPM6B","2824"
